FinalID,CommonName,CaliforniaTaxon,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,GenusComplex,Genus,SpeciesComplex,Species,Subspecies,Variety,TaxonomicAuthority,FinalIDAuthority,Source
Acilius abbreviatus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Dytiscinae,,,Acilius,,Acilius abbreviatus,,,Mannerheim,SAFIT,DFG-ABL
Aclitellata,,TRUE,Annelida,Aclitellata,,,,,,,,,,,,,,,,,,SAFIT,DFG-ABL
Acneus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Psephenidae,,,,Acneus,,,,,Horn,SAFIT,DFG-ABL
Acneus beeri,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Psephenidae,,,,Acneus,,Acneus beeri,,,Hatch,SAFIT,DFG-ABL
Acneus burnelli,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Psephenidae,,,,Acneus,,Acneus burnelli,,,(Fender),SAFIT,DFG-ABL
Acneus oregonensis,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Psephenidae,,,,Acneus,,Acneus oregonensis,,,Fender,SAFIT,DFG-ABL
Acneus quadrimaculatus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Psephenidae,,,,Acneus,,Acneus quadrimaculatus,,,Horn,SAFIT,DFG-ABL
Acricotopus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chironomidae,Orthocladiinae,,,Acricotopus,,,,,Kieffer,SAFIT,DFG-ABL
Adenophorea,,TRUE,Nematoda,,,Adenophorea,,,,,,,,,,,,,,,,SAFIT,DFG-ABL
Aedes,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Culicidae,,,,Aedes,,,,,Meigen,SAFIT,DFG-ABL
Aedes aegypti,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Culicidae,,,,Aedes,,Aedes aegypti,,,(Linneaus),SAFIT,DFG-ABL
Aedes cinereus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Culicidae,,,,Aedes,,Aedes cinereus,,,Meigen,SAFIT,DFG-ABL
Aedes vexans,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Culicidae,,,,Aedes,,Aedes vexans,,,(Meigen),SAFIT,DFG-ABL
Aeolosoma,,TRUE,Annelida,Aclitellata,,Polychaeta,Scolecida,,,,,Aeolosomatidae,,,,Aeolosoma,,,,,Ehrenberg,SAFIT,DFG-ABL
Aeolosomatidae,,TRUE,Annelida,Aclitellata,,Polychaeta,Scolecida,,,,,Aeolosomatidae,,,,,,,,,Beddard,SAFIT,DFG-ABL
Aeshna,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Aeshnidae,,,Aeshna/ Rhionaeshna,Aeshna,,,,,Fabricius,SAFIT,DFG-ABL
Aeshna canadensis,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Aeshnidae,,,Aeshna/ Rhionaeshna,Aeshna,,Aeshna canadensis,,,Walker,SAFIT,DFG-ABL
Aeshna constricta,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Aeshnidae,,,Aeshna/ Rhionaeshna,Aeshna,,Aeshna constricta,,,Say,SAFIT,DFG-ABL
Aeshna eremita,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Aeshnidae,,,Aeshna/ Rhionaeshna,Aeshna,,Aeshna eremita,,,Scudder,SAFIT,DFG-ABL
Aeshna interrupta,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Aeshnidae,,,Aeshna/ Rhionaeshna,Aeshna,,Aeshna interrupta,,,Walker,SAFIT,DFG-ABL
Aeshna juncea,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Aeshnidae,,,Aeshna/ Rhionaeshna,Aeshna,,Aeshna juncea,,,(Linnaeus),SAFIT,DFG-ABL
Aeshna palmata,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Aeshnidae,,,Aeshna/ Rhionaeshna,Aeshna,,Aeshna palmata,,,Hagen,SAFIT,DFG-ABL
Aeshna persephone,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Aeshnidae,,,Aeshna/ Rhionaeshna,Aeshna,,Aeshna persephone,,,Donnelly,SAFIT,DFG-ABL
Aeshna subarctica,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Aeshnidae,,,Aeshna/ Rhionaeshna,Aeshna,,Aeshna subarctica,,,Walker,SAFIT,DFG-ABL
Aeshna tuberculifera,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Aeshnidae,,,Aeshna/ Rhionaeshna,Aeshna,,Aeshna tuberculifera,,,Walker,SAFIT,DFG-ABL
Aeshna umbrosa,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Aeshnidae,,,Aeshna/ Rhionaeshna,Aeshna,,Aeshna umbrosa,,,Walker,SAFIT,DFG-ABL
Aeshna walkeri,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Aeshnidae,,,Aeshna/ Rhionaeshna,Aeshna,,Aeshna walkeri,,,Kennedy,SAFIT,DFG-ABL
Aeshna/ Rhionaeshna,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Aeshnidae,,,Aeshna/ Rhionaeshna,,,,,,Fabricius/ von Ellenrieder,SAFIT,DFG-ABL
Aeshnidae,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Aeshnidae,,,,,,,,,Selys,SAFIT,DFG-ABL
Agabinus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabinus,,,,,Crotch,SAFIT,DFG-ABL
Agabinus glabrellus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabinus,,Agabinus glabrellus,,,(Motschulsky),SAFIT,DFG-ABL
Agabinus sculpturellus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabinus,,Agabinus sculpturellus,,,Zimermann,SAFIT,DFG-ABL
Agabus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,,,,Leach,SAFIT,DFG-ABL
Agabus ambiguus,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus ambiguus,,,(Say),SAFIT,DFG-ABL
