FinalID,CommonName,CaliforniaTaxon,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,GenusComplex,Genus,SpeciesComplex,Species,Subspecies,Variety,TaxonomicAuthority,FinalIDAuthority,Source
Ellobiidae,,TRUE,Mollusca,,,Gastropoda,Pulmonata,,Basommatophora,,,Ellobiidae,,,,,,,,,Pfeiffer,SAFIT,DFG-ABL
Elmidae,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Elmidae,,,,,,,,,Curtis,SAFIT,DFG-ABL
Elodes,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Scirtidae,,,,Elodes,,,,,Latreille,SAFIT,DFG-ABL
Elodes angusta,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Scirtidae,,,,Elodes,,Elodes angusta,,,Hatch,SAFIT,DFG-ABL
Elodes apicalis,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Scirtidae,,,,Elodes,,Elodes apicalis,,,(LeConte),SAFIT,DFG-ABL
Elodes aquatica,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Scirtidae,,,,Elodes,,Elodes aquatica,,,(Blaisdell),SAFIT,DFG-ABL
Elodes emarginata,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Scirtidae,,,,Elodes,,Elodes emarginata,,,Hatch,SAFIT,DFG-ABL
Elodes impressa,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Scirtidae,,,,Elodes,,Elodes impressa,,,Hatch,SAFIT,DFG-ABL
Elodes nunenmacheri,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Scirtidae,,,,Elodes,,Elodes nunenmacheri,,,(Wolcott),SAFIT,DFG-ABL
Empididae,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Empididae,,,,,,,,,Latreille,SAFIT,DFG-ABL
Empidinae,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Empididae,Empidinae,,,,,,,,Latreille,SAFIT,DFG-ABL
Enallagma,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Coenagrionidae,,,,Enallagma,,,,,Selys,SAFIT,DFG-ABL
Enallagma anna,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Coenagrionidae,,,,Enallagma,,Enallagma anna,,,Williamson,SAFIT,DFG-ABL
Enallagma basidens,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Coenagrionidae,,,,Enallagma,,Enallagma basidens,,,Calvert,SAFIT,DFG-ABL
Enallagma boreale,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Coenagrionidae,,,,Enallagma,,Enallagma boreale,,,(Selys),SAFIT,DFG-ABL
Enallagma carunculatum,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Coenagrionidae,,,,Enallagma,,Enallagma carunculatum,,,Morse,SAFIT,DFG-ABL
Enallagma civile,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Coenagrionidae,,,,Enallagma,,Enallagma civile,,,(Hagen),SAFIT,DFG-ABL
Enallagma clausum,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Coenagrionidae,,,,Enallagma,,Enallagma clausum,,,Morse,SAFIT,DFG-ABL
Enallagma cyathigerum,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Coenagrionidae,,,,Enallagma,,Enallagma cyathigerum,,,(Charpentier),SAFIT,DFG-ABL
Enallagma ebrium,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Coenagrionidae,,,,Enallagma,,Enallagma ebrium,,,(Hagen),SAFIT,DFG-ABL
Enallagma eiseni,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Coenagrionidae,,,,Enallagma,,Enallagma eiseni,,,Calvert,SAFIT,DFG-ABL
Enallagma novaehispaniae,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Coenagrionidae,,,,Enallagma,,Enallagma novaehispaniae,,,Calvert,SAFIT,DFG-ABL
Enallagma praevarum,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Coenagrionidae,,,,Enallagma,,Enallagma praevarum,,,(Hagen),SAFIT,DFG-ABL
Enallagma semicirculare,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Coenagrionidae,,,,Enallagma,,Enallagma semicirculare,,,Selys,SAFIT,DFG-ABL
Enchytraeidae,,TRUE,Annelida,Clitellata,,Oligochaeta,,Microdrili,Tubificida,,,Enchytraeidae,,,,,,,,,,SAFIT,DFG-ABL
Endochironomus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chironomidae,Chironominae,Chironomini,,Endochironomus,,,,,Kieffer,SAFIT,DFG-ABL
Endochironomus nigricans,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chironomidae,Chironominae,Chironomini,,Endochironomus,,Endochironomus nigricans,,,Johannsen,SAFIT,DFG-ABL
Endotribelos,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chironomidae,Chironominae,Chironomini,,Endotribelos,,,,,Grodhaus,SAFIT,DFG-ABL
Endotribelos hesperium,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chironomidae,Chironominae,Chironomini,,Endotribelos,,Endotribelos hesperium,,,Sublette,SAFIT,DFG-ABL
Enochrus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Hydrophilidae,,,,Enochrus,,,,,Thomson,SAFIT,DFG-ABL
Enochrus aridus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Hydrophilidae,,,,Enochrus,,Enochrus aridus,,,Gundersen,SAFIT,DFG-ABL
Enochrus californicus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Hydrophilidae,,,,Enochrus,,Enochrus californicus,,,(Horn),SAFIT,DFG-ABL
Enochrus carinatus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Hydrophilidae,,,,Enochrus,,Enochrus carinatus,,,(LeConte),SAFIT,DFG-ABL
Enochrus cristatus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Hydrophilidae,,,,Enochrus,,Enochrus cristatus,,,(LeConte),SAFIT,DFG-ABL
Enochrus cuspidatus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Hydrophilidae,,,,Enochrus,,Enochrus cuspidatus,,,(LeConte),SAFIT,DFG-ABL
Enochrus diffusus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Hydrophilidae,,,,Enochrus,,Enochrus diffusus,,,(LeConte),SAFIT,DFG-ABL
Enochrus fimbriatus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Hydrophilidae,,,,Enochrus,,Enochrus fimbriatus,,,"(Melsheimer, 1844)",SAFIT,DFG-ABL
Enochrus hamiltoni,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Hydrophilidae,,,,Enochrus,,Enochrus hamiltoni,,,Leech,SAFIT,DFG-ABL
Enochrus ochraceus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Hydrophilidae,,,,Enochrus,,Enochrus ochraceus,,,Melsheimer,SAFIT,DFG-ABL
Enochrus perplexus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Hydrophilidae,,,,Enochrus,,Enochrus perplexus,,,(LeConte),SAFIT,DFG-ABL
Enochrus piceus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Hydrophilidae,,,,Enochrus,,Enochrus piceus,,,Miller,SAFIT,DFG-ABL
Enochrus pygmaeus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Hydrophilidae,,,,Enochrus,,Enochrus pygmaeus,,,(Fabricius),SAFIT,DFG-ABL
Enopla,,TRUE,Nemertea,,,Enopla,,,,,,,,,,,,,,,Schultze,SAFIT,DFG-ABL
Eobrachycentrus,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Trichoptera,,,Brachycentridae,,,,Eobrachycentrus,,,,,Wiggins,SAFIT,DFG-ABL
Eobrachycentrus gelidae,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Trichoptera,,,Brachycentridae,,,,Eobrachycentrus,,Eobrachycentrus gelidae,,,Wiggins,SAFIT,DFG-ABL
Eocosmoecus,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Trichoptera,,,Limnephilidae,,,,Eocosmoecus,,,,,Wiggins and Richardson,SAFIT,DFG-ABL
Eocosmoecus frontalis,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Trichoptera,,,Limnephilidae,,,,Eocosmoecus,,Eocosmoecus frontalis,,,(Banks),SAFIT,DFG-ABL
Eocosmoecus schmidi,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Trichoptera,,,Limnephilidae,,,,Eocosmoecus,,Eocosmoecus schmidi,,,(Wiggins),SAFIT,DFG-ABL
Eocyzicus,,TRUE,Arthropoda,Crustacea,,Branchiopoda,,,Diplostraca,,,Cyzicidae,,,,Eocyzicus,,,,,Daday de Deés,SAFIT,DFG-ABL
Eocyzicus digueti,,TRUE,Arthropoda,Crustacea,,Branchiopoda,,,Diplostraca,,,Cyzicidae,,,,Eocyzicus,,Eocyzicus digueti,,,(Richard),SAFIT,DFG-ABL
Epeorus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Ephemeroptera,,,Heptageniidae,,,,Epeorus,,,,,Eaton,SAFIT,DFG-ABL
Epeorus albertae,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Ephemeroptera,,,Heptageniidae,,,,Epeorus,,Epeorus albertae,,,(McDunnough),SAFIT,DFG-ABL
Epeorus deceptivus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Ephemeroptera,,,Heptageniidae,,,,Epeorus,,Epeorus deceptivus,,,(McDunnough),SAFIT,DFG-ABL
Epeorus dulciana,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Ephemeroptera,,,Heptageniidae,,,,Epeorus,,Epeorus dulciana,,,(McDunnough),SAFIT,DFG-ABL
Epeorus grandis,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Ephemeroptera,,,Heptageniidae,,,,Epeorus,,Epeorus grandis,,,(McDunnough),SAFIT,DFG-ABL
Epeorus hesperus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Ephemeroptera,,,Heptageniidae,,,,Epeorus,,Epeorus hesperus,,,(Banks),SAFIT,DFG-ABL
Epeorus lagunitas,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Ephemeroptera,,,Heptageniidae,,,,Epeorus,,Epeorus lagunitas,,,(Traver),SAFIT,DFG-ABL
Epeorus longimanus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Ephemeroptera,,,Heptageniidae,,,,Epeorus,,Epeorus longimanus,,,(Eaton),SAFIT,DFG-ABL
Epeorus margarita,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Ephemeroptera,,,Heptageniidae,,,,Epeorus,,Epeorus margarita,,,Edmunds and Allen,SAFIT,DFG-ABL
Epeorus permagnus,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Ephemeroptera,,,Heptageniidae,,,,Epeorus,,Epeorus permagnus,,,(Traver),SAFIT,DFG-ABL
Ephemera,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Ephemeroptera,,,Ephemeridae,,,,Ephemera,,,,,Linnaeus,SAFIT,DFG-ABL
Ephemera simulans,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Ephemeroptera,,,Ephemeridae,,,,Ephemera,,Ephemera simulans,,,Walker,SAFIT,DFG-ABL
Ephemerella,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Ephemeroptera,,,Ephemerellidae,,,,Ephemerella,,,,,Walsh,SAFIT,DFG-ABL
Ephemerella alleni,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Ephemeroptera,,,Ephemerellidae,,,,Ephemerella,,Ephemerella alleni,,,Jensen and Edmunds,SAFIT,DFG-ABL
Ephemerella aurivillii,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Ephemeroptera,,,Ephemerellidae,,,,Ephemerella,,Ephemerella aurivillii,,,(Bengtsson),SAFIT,DFG-ABL
Ephemerella dorothea,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Ephemeroptera,,,Ephemerellidae,,,,Ephemerella,,Ephemerella dorothea,,,Needham,SAFIT,DFG-ABL
Ephemerella dorothea/excrucians,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Ephemeroptera,,,Ephemerellidae,,,,Ephemerella,Ephemerella dorothea/excrucians,,,,Needham/Walsh,SAFIT,DFG-ABL
Ephemerella excrucians,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Ephemeroptera,,,Ephemerellidae,,,,Ephemerella,,Ephemerella excrucians,,,Walsh,SAFIT,DFG-ABL
Ephemerella maculata,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Ephemeroptera,,,Ephemerellidae,,,,Ephemerella,,Ephemerella maculata,,,Traver,SAFIT,DFG-ABL
Ephemerella tibialis,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Ephemeroptera,,,Ephemerellidae,,,,Ephemerella,,Ephemerella tibialis,,,McDunnough,SAFIT,DFG-ABL
Ephemerella velmae,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Ephemeroptera,,,Ephemerellidae,,,,Ephemerella,,Ephemerella velmae,,,Allen and Edmunds,SAFIT,DFG-ABL
Ephemerella verruca,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Ephemeroptera,,,Ephemerellidae,,,,Ephemerella,,Ephemerella verruca,,,Allen and Edmunds,SAFIT,DFG-ABL
Ephemerellidae,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Ephemeroptera,,,Ephemerellidae,,,,,,,,,Klapalek,SAFIT,DFG-ABL
Ephemeridae,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Ephemeroptera,,,Ephemeridae,,,,,,,,,Latreille,SAFIT,DFG-ABL
Ephemeroptera,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Ephemeroptera,,,,,,,,,,,,Hyatt and Arms,SAFIT,DFG-ABL
Ephoron,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Ephemeroptera,,,Polymitarcyidae,,,,Ephoron,,,,,Williamson,SAFIT,DFG-ABL
Ephoron album,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Ephemeroptera,,,Polymitarcyidae,,,,Ephoron,,Ephoron album,,,(Say),SAFIT,DFG-ABL
Ephydra,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Ephydridae,,,,Ephydra,,,,,,SAFIT,DFG-ABL
Ephydridae,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Ephydridae,,,,,,,,,Zetterstedt,SAFIT,DFG-ABL
Epimetopidae,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Epimetopidae,,,,,,,,,Zaitzev,SAFIT,DFG-ABL
Epimetopus,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Epimetopidae,,,,Epimetopus,,,,,Lacordaire,SAFIT,DFG-ABL
Epitheca,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Corduliidae,,,,Epitheca,,,,,Charpentier,SAFIT,DFG-ABL
Epitheca canis,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Corduliidae,,,,Epitheca,,Epitheca canis,,,(McLachlan),SAFIT,DFG-ABL
Epitheca spinigera,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Corduliidae,,,,Epitheca,,Epitheca spinigera,,,(Selys),SAFIT,DFG-ABL
Epoicocladius,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chironomidae,Orthocladiinae,,,Epoicocladius,,,,,Zavrel in Å ulc and Zavrel,SAFIT,DFG-ABL
Erebaxonopsis,,TRUE,Arthropoda,Chelicerata,,Arachnida,Acari,,Trombidiformes,,,Aturidae,,,,Erebaxonopsis,,,,,Motas and Tanasachi,SAFIT,DFG-ABL
Erebaxonopsis nearctica,,TRUE,Arthropoda,Chelicerata,,Arachnida,Acari,,Trombidiformes,,,Aturidae,,,,Erebaxonopsis,,Erebaxonopsis nearctica,,,Cook,SAFIT,DFG-ABL
Eremopyrgus,,FALSE,Mollusca,,,Gastropoda,Prosobranchia,,Hypsogastropoda,,,Cochliopidae,,,,Eremopyrgus,,,,,Hershler,SAFIT,DFG-ABL
Eremopyrgus eganensis,,FALSE,Mollusca,,,Gastropoda,Prosobranchia,,Hypsogastropoda,,,Cochliopidae,,,,Eremopyrgus,,Eremopyrgus eganensis,,,Hershler,SAFIT,DFG-ABL
Eretes,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Dytiscinae,,,Eretes,,,,,LaPorte,SAFIT,DFG-ABL
Eretes sticticus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Dytiscinae,,,Eretes,,Eretes sticticus,,,(Linnaeus),SAFIT,DFG-ABL
Eretmoptera,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chironomidae,Orthocladiinae,,,Eretmoptera,,,,,Kellog,SAFIT,DFG-ABL
Eretmoptera browni,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chironomidae,Orthocladiinae,,,Eretmoptera,,Eretmoptera browni,,,Kellogg,SAFIT,DFG-ABL
Eriocheir,,TRUE,Arthropoda,Crustacea,,Malacostraca,,,Decapoda,,,Grapsidae,,,,Eriocheir,,,,,de Haan,SAFIT,DFG-ABL
Eriocheir sinensis,,TRUE,Arthropoda,Crustacea,,Malacostraca,,,Decapoda,,,Grapsidae,,,,Eriocheir,,Eriocheir sinensis,,,Milne-Edwards,SAFIT,DFG-ABL
Erioptera,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Tipulidae,Limoniinae,,,Erioptera,,,,,Meigen,SAFIT,DFG-ABL
Eristalis,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Syrphidae,,,,Eristalis,,,,,,SAFIT,DFG-ABL
Erpetogomphus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Gomphidae,,,,Erpetogomphus,,,,,Selys,SAFIT,DFG-ABL
Erpetogomphus compositus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Gomphidae,,,,Erpetogomphus,,Erpetogomphus compositus,,,Hagen in Selys,SAFIT,DFG-ABL
Erpetogomphus crotalinus,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Gomphidae,,,,Erpetogomphus,,Erpetogomphus crotalinus,,,(Hagen in Selys),SAFIT,DFG-ABL
Erpetogomphus designatus,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Gomphidae,,,,Erpetogomphus,,Erpetogomphus designatus,,,Hagen in Selys,SAFIT,DFG-ABL
Erpetogomphus lampropeltis,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Gomphidae,,,,Erpetogomphus,,Erpetogomphus lampropeltis,,,Kennedy,SAFIT,DFG-ABL
Erpobdella,,TRUE,Annelida,Clitellata,,Hirudinea,,,Arhynchobdellida,,,Erpobdellidae,,,,Erpobdella,,,,,de Blainville,SAFIT,DFG-ABL
Erpobdella punctata,,TRUE,Annelida,Clitellata,,Hirudinea,,,Arhynchobdellida,,,Erpobdellidae,,,,Erpobdella,,Erpobdella punctata,,,,SAFIT,DFG-ABL
Erpobdellidae,,TRUE,Annelida,Clitellata,,Hirudinea,,,Arhynchobdellida,,,Erpobdellidae,,,,,,,,,Blanchard,SAFIT,DFG-ABL
Erythemis,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Libellulidae,,,,Erythemis,,,,,Hagen,SAFIT,DFG-ABL
Erythemis collacata,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Libellulidae,,,,Erythemis,,Erythemis collacata,,,(Hagen),SAFIT,DFG-ABL
Erythemis simplicicollis,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Libellulidae,,,,Erythemis,,Erythemis simplicicollis,,,(Say),SAFIT,DFG-ABL
Erythemis vesiculosa,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Libellulidae,,,,Erythemis,,Erythemis vesiculosa,,,(Fabricius),SAFIT,DFG-ABL
Erythrodiplax,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Libellulidae,,,,Erythrodiplax,,,,,Brauer,SAFIT,DFG-ABL
Erythrodiplax basifusca,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Libellulidae,,,,Erythrodiplax,,Erythrodiplax basifusca,,,(Calvert),SAFIT,DFG-ABL
Erythrodiplax funerea,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Odonata,,,Libellulidae,,,,Erythrodiplax,,Erythrodiplax funerea,,,(Hagen),SAFIT,DFG-ABL
Estellacarus,,TRUE,Arthropoda,Chelicerata,,Arachnida,Acari,,Trombidiformes,,,Aturidae,,,,Estellacarus,,,,,Habeeb,SAFIT,DFG-ABL
Estelloxus,,TRUE,Arthropoda,Chelicerata,,Arachnida,Acari,,Trombidiformes,,,Lebertiidae,,,,Estelloxus,,,,,Habeeb,SAFIT,DFG-ABL
Eubranchipus,,TRUE,Arthropoda,Crustacea,,Branchiopoda,,,Anostraca,,,Chirocephalidae,,,,Eubranchipus,,,,,Verrill,SAFIT,DFG-ABL
Eubranchipus bundyi,,TRUE,Arthropoda,Crustacea,,Branchiopoda,,,Anostraca,,,Chirocephalidae,,,,Eubranchipus,,Eubranchipus bundyi,,,Forbes,SAFIT,DFG-ABL
Eubranchipus oregonus,,TRUE,Arthropoda,Crustacea,,Branchiopoda,,,Anostraca,,,Chirocephalidae,,,,Eubranchipus,,Eubranchipus oregonus,,,Creaser,SAFIT,DFG-ABL
Eubranchipus serratus,,TRUE,Arthropoda,Crustacea,,Branchiopoda,,,Anostraca,,,Chirocephalidae,,,,Eubranchipus,,Eubranchipus serratus,,,Forbes,SAFIT,DFG-ABL
Eubrianax,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Psephenidae,,,,Eubrianax,,,,,Verrill,SAFIT,DFG-ABL
Eubrianax edwardsii,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Psephenidae,,,,Eubrianax,,Eubrianax edwardsii,,,LeConte,SAFIT,DFG-ABL
Eucapnopsis,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Plecoptera,,,Capniidae,,,,Eucapnopsis,,,,,Okamoto,SAFIT,DFG-ABL
Eucapnopsis brevicauda,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Plecoptera,,,Capniidae,,,,Eucapnopsis,,Eucapnopsis brevicauda,,,Claassen,SAFIT,DFG-ABL
Eucorethra,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chaoboridae,,,,Eucorethra,,,,,Underwood,SAFIT,DFG-ABL
Eucorethra underwoodi,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chaoboridae,,,,Eucorethra,,Eucorethra underwoodi,,,Underwood,SAFIT,DFG-ABL
Eudistylia,,TRUE,Annelida,Aclitellata,,Polychaeta,,,Canalipalpata,,,Sabellidae,,,,Eudistylia,,,,,,SAFIT,DFG-ABL
Eudistylia vancouveri,,TRUE,Annelida,Aclitellata,,Polychaeta,,,Canalipalpata,,,Sabellidae,,,,Eudistylia,,Eudistylia vancouveri,,,,SAFIT,DFG-ABL
Eukiefferiella,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chironomidae,Orthocladiinae,,,Eukiefferiella,,,,,Thienemann,SAFIT,DFG-ABL
Eukiefferiella brehmi group,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chironomidae,Orthocladiinae,,,Eukiefferiella,Eukiefferiella brehmi group sensu,,,,sensu Bode,SAFIT,DFG-ABL
Eukiefferiella brevicalcar group,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chironomidae,Orthocladiinae,,,Eukiefferiella,Eukiefferiella brevicalcar group,,,,sensu Bode,SAFIT,DFG-ABL
Eukiefferiella claripennis,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chironomidae,Orthocladiinae,,,Eukiefferiella,,Eukiefferiella claripennis,,,Lundbeck,SAFIT,DFG-ABL
Eukiefferiella claripennis group,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chironomidae,Orthocladiinae,,,Eukiefferiella,Eukiefferiella claripennis group,,,,sensu Bode,SAFIT,DFG-ABL
Eukiefferiella coerulescens,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chironomidae,Orthocladiinae,,,Eukiefferiella,Eukiefferiella coerulescens group,Eukiefferiella coerulescens,,,(Kieffer),SAFIT,DFG-ABL
Eukiefferiella coerulescens group,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chironomidae,Orthocladiinae,,,Eukiefferiella,Eukiefferiella coerulescens group,,,,sensu Bode,SAFIT,DFG-ABL
Eukiefferiella cyanea,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chironomidae,Orthocladiinae,,,Eukiefferiella,Eukiefferiella cyanea group,Eukiefferiella cyanea,,,Thienemann,SAFIT,DFG-ABL
Eukiefferiella cyanea group,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chironomidae,Orthocladiinae,,,Eukiefferiella,Eukiefferiella cyanea group,,,,sensu Bode,SAFIT,DFG-ABL
Eukiefferiella devonica,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chironomidae,Orthocladiinae,,,Eukiefferiella,,Eukiefferiella devonica,,,Edwards,SAFIT,DFG-ABL
Eukiefferiella devonica group,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chironomidae,Orthocladiinae,,,Eukiefferiella,Eukiefferiella devonica group,,,,sensu Bode,SAFIT,DFG-ABL
Eukiefferiella gracei group,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chironomidae,Orthocladiinae,,,Eukiefferiella,Eukiefferiella gracei group,,,,sensu Bode,SAFIT,DFG-ABL
Eukiefferiella ilkleyensis,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chironomidae,Orthocladiinae,,,Eukiefferiella,Eukiefferiella devonica group,Eukiefferiella ilkleyensis,,,(Edwards),SAFIT,DFG-ABL
Eukiefferiella pseudomontana group,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chironomidae,Orthocladiinae,,,Eukiefferiella,Eukiefferiella pseudomontana group,,,,sensu Bode,SAFIT,DFG-ABL
Eulichadidae,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Eulichadidae,,,,,,,,,Crowson,SAFIT,DFG-ABL
Eulimnichus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Limnichidae,,,,Eulimnichus,,,,,Casey,SAFIT,DFG-ABL
Eulimnichus analis,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Limnichidae,,,,Eulimnichus,,Eulimnichus analis,,,(LeConte),SAFIT,DFG-ABL
